Material_ID|Material_Name|Type|Unit_Price|Stock_Initial|Supplier_ID|Total_Stock_Value|Arrival Date|Carbon_Footprint_per_Unit_kgCO2e|Transport_Distance_km|Recycled_Packaging|Water_Consumption_per_Unit_liters
M062|Fromage râpé|Produit laitier|122.31|361|SUPPLIER_10|44153.91|10/30/2023|722|500|Non|3610
M249|Eau déminéralisée|Produit laitier|357.78|356|SUPPLIER_18|127369.68|9/10/2023|712|50|Non|3560
M131|Sel m|Produit laitier||40o|SUPPLIER_31|1289z|10/22/2023||15k|Ov|4040
M132|Sucre blanc|Ingrédient|470.11|405|SUPPLIER_18|190394.55|9/30/2023|405|120|Oui|1215
M120|Crème pasteurisée|Ingrédient|63.05|174|SUPPLIER_8|10970.7|10/27/2023|174|50|Non|522
M095|Colorant alimentaire|Produit laitier|237.8|294|SUPPLIER_26|69913.2|10/20/2023|588|150|Oui|2940
|||138.82|280|SUPPLIER_16||2023-o||30z|Ne|
M343|Crème pasteurisée|Produit laitier|188.76|595|SUPPLIER_79|112312.2|9/4/2023|1190|150|Non|5950
M275|Beurre de cacao|Produit laitier|289.06|175|SUPPLIER_20|50585.5|10/14/2023|350|500|Non|1750
|Chocolat en poudre||||SUPPLIER_66|1824m|10/3/2023|80d|400||2412
|Sirop de glucose|Produit laitier||16h|SUPPLIER_40|55007.7|2023-g||50y|Oui|165c
M350|Crème pasteurisée|Produit laitier|454.48|457|SUPPLIER_83|207697.36|10/2/2023|914|150|Oui|4570
M259|Colorant alimentaire|Ingrédient|156.32|810|SUPPLIER_63|126619.2|9/25/2023|810|200|Oui|2430
|Beurre de cacao||||SUPPLIER_25||9/30/2023|||Oui|
||||377|SUPPLIER_81|184217.28|2023-m||100||377f
M248|Chocolat en poudre|Ingrédient|246.04|687|SUPPLIER_21|169029.48|9/14/2023|687|300|Oui|2061
|Colorant ak|||||||||Non|
M348|Sirop de glucose|Ingrédient|338.63|539|SUPPLIER_22|182521.57|9/7/2023|539|180|Non|1617
M155|Lait frais entier|Ingrédient|440.98|850|SUPPLIER_75|374833|9/8/2023|850|50|Oui|2550
M187|Fruits mélangés|Produit laitier|265.6|123|SUPPLIER_13|32668.8|10/23/2023|246|180|Oui|1230
M158|Sucre blanc|Ingrédient|465.97|984|SUPPLIER_33|458514.48|9/8/2023|984|120|Non|2952
M4h||Ingrédient|347.45||SUPPLIER_61||||||230i
M181|Fromage râpé|Produit laitier|499.49|811|SUPPLIER_44|405086.39|10/17/2023|1622|500|Oui|8110
M495|Sirop de glucose|Produit laitier|184.28|482|SUPPLIER_31|88822.96|10/11/2023|964|500|Oui|4820
M041|Ferments lactiques|Produit laitier|327.66|484|SUPPLIER_21|158587.44|10/8/2023|968|300|Non|4840
M163|Beurre de cacao|Ingrédient|350.39|579|SUPPLIER_9|202875.81|9/3/2023|579|400|Oui|1737
M288|Sirop de glucose|Ingrédient|315.1|798|SUPPLIER_6|251449.8|10/17/2023|798|500|Non|2394
M166|Chocolat en poudre|Ingrédient|186.26|411|SUPPLIER_65|76552.86|10/24/2023|411|400|Oui|1233
M020|Eau déminéralisée|Produit laitier|438.31|768|SUPPLIER_47|336622.08|10/8/2023|1536|50|Non|7680
M188|Ferments lactiques|Ingrédient|153.31|628|SUPPLIER_69|96278.68|10/18/2023|628|250|Oui|1884
M007|Crème pasteurisée|Produit laitier|222.99|657|SUPPLIER_60|146504.43|9/16/2023|1314|120|Oui|6570
M332|Crème pasteurisée|Ingrédient|147.64|322|SUPPLIER_44|47540.08|9/14/2023|322|150|Non|966
|Chocolat en poudre||359.15|72x||260024.6|10/22/2023|144n|||
M144|Sucre blanc|Ingrédient|436.68|983|SUPPLIER_55|429256.44|10/23/2023|983|120|Non|2949
M131|Eau déminéralisée|Produit laitier|145.03|445|SUPPLIER_66|64538.35|9/21/2023|890|100|Non|4450
M415|Stabilisants|Produit laitier|252.55|514|SUPPLIER_38|129810.7|9/16/2023|1028|300|Non|5140
M021|Levure sèche|Produit laitier|464.98|624|SUPPLIER_19|290147.52|10/1/2023|1248|300|Non|6240
M250|Eau déminéralisée|Produit laitier|426.79|796|SUPPLIER_33|339724.84|10/8/2023|1592|300|Non|7960
M308|Gomme de guar|Produit laitier|309.13|644|SUPPLIER_58|199079.72|9/2/2023|1288|300|Oui|6440
M151|Sirop de glucose|Produit laitier|125.9|714|SUPPLIER_16|89892.6|10/16/2023|1428|50|Oui|7140
M145|Stabilisants|Ingrédient|126.07|322|SUPPLIER_44|40594.54|9/20/2023|322|180|Oui|966
M182|Sucre blanc|Produit laitier|486.99|602|SUPPLIER_28|293167.98|10/16/2023|1204|300|Non|6020
M248|Colorant alimentaire|Produit laitier|350.91|437|SUPPLIER_1|153347.67|9/30/2023|874|150|Oui|4370
M380|||246.57|||||256|12m||
M328|Sucre blanc|Produit laitier|454.14|247|SUPPLIER_77|112172.58|9/2/2023|494|120|Non|2470
M317|Fruits mélangés|Ingrédient|439.65|863|SUPPLIER_12|379417.95|10/30/2023|863|50|Non|2589
