Supplier_ID;Supplier_Name;Location;Contact_Email;Phone_Number;Environmental_Certifications;Transport_Type;Renewable_Energy_Percentage;Sustainability_Program
SUPPLIER_1;Laiterie Centrale;Tunis;contact@laiteriecentrale.com;+216 71 25 2525;Agriculture Biologique;Unknown;32.085454275;Oui
SUPPLIER_2;Agro-Alimentaire Tunisie;Sfax;info@agroalimentaire.tn;+216 71;Aucune;Unknown;59.6050115761;Non
SUPPLIER_3;Import-Export Naturel;Sfax;contact@importnaturel.com;+216 71 000 600;ISO 14001;Unknown;99.5734452051;Non
SUPPLIER_4;Qualité Fraîcheur;Tunis;contactqualitefraicheurtn;+216 71 44 000;Aucune;Unknown;43.5262279657;Non
SUPPLIER_5;Fruits et Saveurs;Gabès;service@fruitsetsaveurs.com;+216 71 00 522;Aucune;Unknown;92.0691400779;Oui
SUPPLIER_6;Produits Bio Tunisie;Tunis;contact@bio-produits.tn;+216 71 030 300;Agriculture Biologique;Unknown;34.5016839925;Oui
SUPPLIER_7;Sucre & Co;Nabeul;info@sucreco.tn;+216 71 652900;Agriculture Biologique;Unknown;5.4732706925;Oui
SUPPLIER_8;Arômes et Essences;Nabeul;servicearomesessences.tn;+216 71 10 040;ISO 14001;Unknown;20.4242106368;Non
SUPPLIER_9;Choco-Delice;Sfax;info@chocodelice.com;+216 71 654852;Aucune;Unknown;41.8695143328;Non
SUPPLIER_10;Colorants Naturels;Gabès;contact@colorantsnaturelstn;+216 71 0517;Aucune;Unknown;21.9634928595;Oui
SUPPLIER_11;Fournitures Eco Tunisie;Sousse;info@fournituresecotunisie.tn;+216 71 584 503;ISO 14001;Ferroviaire;9.17;Oui
SUPPLIER_12;Partenaires EcoCommerce;Nabeul;info@partenairesecocommerce.tn;+216 71 994 820;ISO 14001;Multimodal;15.33;Oui
SUPPLIER_13;NaturalField Distributors;Nabeul;info@naturalfielddistributors.org;+216 71 592 641;ISO 14001;Ferroviaire;33.45;Non
SUPPLIER_14;BioHarvest Distributors;Sfax;info@bioharvestdistributors.com;+216 71 242 649;Agriculture Biologique;Aérien;76.95;Oui
SUPPLIER_15;Fournitures BioFrais SARL;Sfax;info@fournituresbiofraissarl.com;+216 71 870 285;Agriculture Biologique;Unknown;3.02;Oui
SUPPLIER_16;Source Durable Tunisie;Nabeul;info@sourcedurabletunisie.com;+216 71 974 986;Agriculture Biologique;Ferroviaire;2.41;Oui
SUPPLIER_17;Fournitures Planète Durable;Sousse;info@fournituresplanètedurable.tn;+216 71 199 484;Aucune;Multimodal;66.37;Oui
SUPPLIER_18;Source Biologique SARL;Sfax;info@sourcebiologiquesarl.com;+216 71 763 863;Agriculture Biologique;Aérien;81.16;Non
SUPPLIER_19;Distributeurs RécolteBio;Tunis;info@distributeursrécoltebio.tn;+216 71 406 131;ISO 14001;Multimodal;8.67;Oui
SUPPLIER_20;Logistique Avenir Vert;Nabeul;info@logistiqueavenirvert.tn;+216 71 849 435;ISO 14001;Maritime;14.59;Oui
SUPPLIER_21;Sustainable Produce Intl.;Sfax;info@sustainableproduceintl..tn;+216 71 711 544;ISO 14001;Camionnage;10.4;Non
SUPPLIER_22;Commerce Nature Premier;Sfax;info@commercenaturepremier.com;+216 71 236 645;Aucune;Camionnage;61.05;Oui
SUPPLIER_23;Énergie Verte Agro;Sousse;info@énergieverteagro.org;+216 71 935 925;ISO 14001;Unknown;38.62;Oui
SUPPLIER_24;Solutions Agro Renouvelables;Sousse;info@solutionsagrorenouvelables.org;+216 71 619 386;ISO 14001;Multimodal;72.79;Oui
SUPPLIER_25;BioSoutien SARL;Sfax;info@biosoutiensarl.org;+216 71 690 148;Aucune;Aérien;10.91;Oui
SUPPLIER_26;Commerce Nature Premier;Gabès;info@commercenaturepremier.com;+216 71 506 863;Aucune;Multimodal;70.24;Oui
SUPPLIER_27;Fournitures Agricoles Eco;Nabeul;info@fournituresagricoleseco.org;+216 71 889 225;ISO 14001;Ferroviaire;62.67;Non
SUPPLIER_28;Départ Bio SARL;Sousse;info@départbiosarl.org;+216 71 387 176;ISO 14001;Maritime;42.06;Oui
SUPPLIER_29;BioSustain Logistics;Gabès;info@biosustainlogistics.org;+216 71 756 736;Agriculture Biologique;Maritime;98.83;Oui
SUPPLIER_30;Innovations Eco Intl.;Sfax;info@innovationsecointl..com;+216 71 454 955;ISO 14001;Maritime;98.24;Oui
SUPPLIER_31;AgroGreen Tunisia;Tunis;info@agrogreentunisia.com;+216 71 830 904;Agriculture Biologique;Multimodal;65.39;Oui
SUPPLIER_32;Fournitures Agricoles Eco;Sfax;info@fournituresagricoleseco.org;+216 71 374 457;Aucune;Ferroviaire;19.42;Non
SUPPLIER_33;Fournitures Planète Durable;Gabès;info@fournituresplanètedurable.tn;+216 71 956 773;ISO 14001;Maritime;21.25;Non
SUPPLIER_34;Fournitures Eco Tunisie;Nabeul;info@fournituresecotunisie.com;+216 71 398 177;Aucune;Ferroviaire;49.05;Non
SUPPLIER_35;Agro Nature Chemin;Tunis;info@agronaturechemin.org;+216 71 626 941;Agriculture Biologique;Unknown;26.71;Oui
SUPPLIER_36;Fournitures Terre Propre;Sousse;info@fournituresterrepropre.org;+216 71 379 113;ISO 14001;Unknown;66.05;Oui
SUPPLIER_37;Commerce Nature Premier;Sfax;info@commercenaturepremier.org;+216 71 476 582;Agriculture Biologique;Maritime;5.31;Non
